index,variable,label_pt,included,eleg,V1,V2,V3,repeating_instrument,form_name_en,field_type,col_types,choices,field_note,text_validation_type_or_show_slider_number,text_validation_min,text_validation_max,branching_logic_(show_field_only_if...),required_field?,field_annotation,variable_column_(original),factor,level_pt,variable_original,label_original,form_name_pt,label_en
55,eleg_lab_location,Local coleta,0,1,0,0,0,0,elegibility,radio,f,"1, ESF I - VILA REIS (Gilberto Rinaldi) | 2, ESF II - BOM JESUS (Nelson Pereira Lima) | 3, ESF III - ILHA GRANDE (João Pegoraro) | 4, ESF IV - JURUCÊ (Sarandy) | 5, ESF V - VILA PAULISTA (Joao Augusto dos Reis) | 6, ESF VI - MORUMBI (Antonio Jacomini) | 7, ESF VII - CESAR CAPATO (Doutor Francisco Xavier Toda Filho) | 8, UBS - SANTA JULIA (Ruth Rodrigues de Pereira) | 9, UBS - VILA REIS (Dr Pedro Saud) | 10, UBS - MORUMBI | 11, CENTRO DE SAÚDE",,,,,,,,BC,"data$eleg_lab_location.factor = factor(data$eleg_lab_location,levels=c(""1"",""2"",""3"",""4"",""5"",""6"",""7"",""8"",""9"",""10"",""11"")) # eleg_lab_location 118","levels(data$eleg_lab_location.factor)=c(""ESF I - VILA REIS (Gilberto Rinaldi)"",""ESF II - BOM JESUS (Nelson Pereira Lima)"",""ESF III - ILHA GRANDE (João Pegoraro)"",""ESF IV - JURUCÊ (Sarandy)"",""ESF V - VILA PAULISTA (Joao Augusto dos Reis)"",""ESF VI - MORUMBI (Antonio Jacomini)"",""ESF VII - CESAR CAPATO (Doutor Francisco Xavier Toda Filho)"",""UBS - SANTA JULIA (Ruth Rodrigues de Pereira)"",""UBS - VILA REIS (Dr Pedro Saud)"",""UBS - MORUMBI"",""CENTRO DE SAÚDE"") # eleg_lab_location 454",eleg2_whichlab_2,Qual o local agendado para coleta?,elegibilidade,Collection Location
56,lab_collected_yn,Exames coletados?,0,1,0,0,0,0,elegibility,dropdown,f,"0, Não | 1, Sim",,,,,,,,BD,"data$lab_collected_yn.factor = factor(data$lab_collected_yn,levels=c(""0"",""1"")) # lab_collected_yn 78","levels(data$lab_collected_yn.factor)=c(""Não"",""Sim"") # lab_collected_yn 51",eleg2_labcollect,Exames laboratoriais coletados?,elegibilidade,Lab Collected?
57,lab_checked_yn,Exames checados?,0,1,0,0,0,0,elegibility,dropdown,f,"0, Não | 1, Sim",,,,,,,,BE,"data$lab_checked_yn.factor = factor(data$lab_checked_yn,levels=c(""0"",""1"")) # lab_checked_yn 74","levels(data$lab_checked_yn.factor)=c(""Não"",""Sim"") # lab_checked_yn 49",eleg2_labchecked,Exames laboratoriais checados?,elegibilidade,Lab Checked?
58,lab_finding_yn,Alterações exames?,0,1,0,0,0,0,elegibility,dropdown,f,"0, Não | 1, Sim",,,,,,,,BF,"data$lab_finding_yn.factor = factor(data$lab_finding_yn,levels=c(""0"",""1"")) # lab_finding_yn 74","levels(data$lab_finding_yn.factor)=c(""Não"",""Sim"") # lab_finding_yn 49",eleg2_labfinding,Alguma alteração nos exames laboratoriais?,elegibilidade,Lab Findings?
59,lab_exclusion_yn,Alteração excludente?,0,1,0,0,0,0,elegibility,radio,f,"0, Não | 1, Sim",,,,,,,,BG,"data$lab_exclusion_yn.factor = factor(data$lab_exclusion_yn,levels=c(""0"",""1"")) # lab_exclusion_yn 78","levels(data$lab_exclusion_yn.factor)=c(""Não"",""Sim"") # lab_exclusion_yn 51",eleg2_labex,Existe alguma alteração laboratorial excludente?,elegibilidade,Exclusionary Lab Findings?
60,bhcg,Beta HCG,0,1,0,0,0,0,elegibility,radio,f,"0, Negativo | 1, Positivo | 99, Não realizado",,,,,[sex] = '1',,,BH,"data$bhcg.factor = factor(data$bhcg,levels=c(""0"",""1"",""99"")) # bhcg 59","levels(data$bhcg.factor)=c(""Negativo"",""Positivo"",""Não realizado"") # bhcg 65",eleg2_bhcg,Beta HCG,elegibilidade,Beta HCG
61,contraception,Método contraceptivo,0,1,0,0,0,0,elegibility,notes,c,,,,,,[sex] = '1',,,BI,,,eleg2_f_highrisk_2,Método contraceptivo:,elegibilidade,Contraceptive Method
62,preserved_hormone,Ciclo hormonal preservado?,1,1,0,0,0,0,elegibility,radio,f,"0, Não | 1, Sim",,,,,[sex] = '1',,,BJ,"data$preserved_hormone.factor = factor(data$preserved_hormone,levels=c(""0"",""1"")) # preserved_hormone 80","levels(data$preserved_hormone.factor)=c(""Não"",""Sim"") # preserved_hormone 52",normalcycle,O ciclo hormonal menstrual está preservado?,elegibilidade,Hormonal Cycle Preserved?
63,contraception_ready_yn,Participante pode iniciar?,0,1,0,0,0,0,elegibility,radio,f,"0, Não | 1, Sim",,,,,[sex] = '1',,,BK,"data$contraception_ready_yn.factor = factor(data$contraception_ready_yn,levels=c(""0"",""1"")) # contraception_ready_yn 90","levels(data$contraception_ready_yn.factor)=c(""Não"",""Sim"") # contraception_ready_yn 57",contraception_ok,Risco de gestação e método contraceptivo:A participante já pode iniciar o estudo?,elegibilidade,Participant Ready to Start?
64,contraception_ineligibility,Participante não elegível,0,1,0,0,0,0,elegibility,notes,c,,,,,,[sex] = '1',, @PLACEHOLDER = 'Detalhe',BL,,,eleg2_contraception,Atenção! Não incluir participante!,elegibilidade,Participant Ineligible
65,consent_sent_yn,TCLE enviado?,0,1,0,0,0,0,elegibility,radio,f,"0, Não | 1, Sim",,,,,,,,BM,"data$consent_sent_yn.factor = factor(data$consent_sent_yn,levels=c(""0"",""1"")) # consent_sent_yn 76","levels(data$consent_sent_yn.factor)=c(""Não"",""Sim"") # consent_sent_yn 50",tcle_sent,TCLE enviado?,elegibilidade,Consent Form Sent?
66,consent_read_yn,TCLE lido?,0,1,0,0,0,0,elegibility,radio,f,"0, Não | 1, Sim",,,,,,,,BN,"data$consent_read_yn.factor = factor(data$consent_read_yn,levels=c(""0"",""1"")) # consent_read_yn 76","levels(data$consent_read_yn.factor)=c(""Não"",""Sim"") # consent_read_yn 50",tcle_read,TCLE lido pelo participante?,elegibilidade,Consent Form Read?
67,consent_questions_yn,Dúvidas sobre TCLE?,0,1,0,0,0,0,elegibility,radio,f,"0, Não | 1, Sim",,,,,,,,BO,"data$consent_questions_yn.factor = factor(data$consent_questions_yn,levels=c(""0"",""1"")) # consent_questions_yn 86","levels(data$consent_questions_yn.factor)=c(""Não"",""Sim"") # consent_questions_yn 55",tcle_questions,O participante tem alguma dúvida sobre os aspectos da pesquisa tratados no TCLE?,elegibilidade,Questions about Consent Form?
68,consent_questions_2_yn,Dúvidas sobre TCLE?,0,1,0,0,0,0,elegibility,notes,c,,,,,,,,,BP,,,tcle_questions_2,TCLE dúvidas?,elegibilidade,More Questions about Consent Form?
69,consent_questions_cleared_yn,Dúvidas esclarecidas?,0,1,0,0,0,0,elegibility,radio,f,"0, Não | 1, Sim",,,,,,,,BQ,"data$consent_questions_cleared_yn.factor = factor(data$consent_questions_cleared_yn,levels=c(""0"",""1"")) # consent_questions_cleared_yn 102","levels(data$consent_questions_cleared_yn.factor)=c(""Não"",""Sim"") # consent_questions_cleared_yn 63",tcle_questions_3,Dúvidas esclarecidas?,elegibilidade,Questions Cleared?
70,participant_desire_yn,Desejo de participar?,0,1,0,0,0,0,elegibility,radio,f,"0, Não | 1, Sim",,,,,,,,BR,"data$participant_desire_yn.factor = factor(data$participant_desire_yn,levels=c(""0"",""1"")) # participant_desire_yn 88","levels(data$participant_desire_yn.factor)=c(""Não"",""Sim"") # participant_desire_yn 56",desire_ok_2,O participante mantém desejo de participar?,elegibilidade,Desire to Participate?
71,first_visit_date,Data 1ª visita,0,1,0,0,0,0,elegibility,text,D,,,date_dmy,,,,,,BS,,,first_visit_2,Data agendada para a primeira visita,elegibilidade,First Visit Date
72,sms_consent_yn,Autorização para recebimento de SMS,0,1,0,0,0,0,elegibility,radio,f,"0, Não | 1, Sim",,,,,,,,BT,"data$sms_consent_yn.factor = factor(data$sms_consent_yn,levels=c(""0"",""1"")) # sms_consent_yn 74","levels(data$sms_consent_yn.factor)=c(""Não"",""Sim"") # sms_consent_yn 49",sms_agree,"Gostaria de *solicitar sua autorização* para te enviarmos algumas *mensagens de texto (SMS)*. Esta será uma das formas que iremos nos comunicar através durante a pesquisa. Se concordar, você irá receber mensagens de texto para te *lembrar de datas importantes como datas de consultas ou coleta de exames* ou para responder a alguns *questionários ou perguntas* que são importantes para a pesquisa. Você concorda?",elegibilidade,SMS Consent Authorized?
73,block_alerts_1st_yn,Bloquear alertas 1ª visita?,0,1,0,0,0,0,elegibility,radio,f,"0, No | 1, Yes",,,,,,,,BU,"data$block_alerts_1st_yn.factor = factor(data$block_alerts_1st_yn,levels=c(""0"",""1"")) # block_alerts_1st_yn 84","levels(data$block_alerts_1st_yn.factor)=c(""No"",""Yes"") # block_alerts_1st_yn 53",block_alerts_1st,Block alerts for 1st visit and 1st questionnaires?,elegibilidade,Block Alerts for 1st Visit?
74,interview_datetime,Data entrevista,0,1,0,0,0,0,elegibility,text,T,,Dia em que a entrevista está sendo conduzida com o potencial participante,datetime_dmy,,,,, @HIDEBUTTON,BV,,,eleg_date,Data e hora da entrevista,elegibilidade,Interview Date and Time
75,eleg_interviewer,Entrevistador,0,1,0,0,0,0,elegibility,text,c,,,,,,,,,BW,,,eleg_interviewer,Entrevistador,elegibilidade,Interviewer
76,eleg_complete,Formulário elegibilidade completo?,0,1,0,0,0,0,elegibility,radio,f,"0, Incomplete | 1, Unverified |2, Complete",,,,,,,,BX,"data$eleg_complete.factor = factor(data$eleg_complete,levels=c(""0"",""1"",""2"")) # eleg_complete 76","levels(data$eleg_complete.factor)=c(""Incomplete"",""Unverified"",""Complete"") # eleg_complete 73",elegibilidade_complete,Complete?,elegibilidade,Form elegibilidade complete?
77,consent_signed_yn,TCLE assinado?,0,0,1,0,0,0,tcle,radio,f,"0, Não | 1, Sim",,,,,,y,,BY,"data$consent_signed_yn.factor = factor(data$consent_signed_yn,levels=c(""0"",""1"")) # consent_signed_yn 80","levels(data$consent_signed_yn.factor)=c(""Não"",""Sim"") # consent_signed_yn 52",consent_c16735_yn,Primeira Visita ao centro de pesquisa Finalizar a obtenção do consentimento através da assinatura do TCLE. O TCLE foi assinado?,tcle,Consent Form Signed?
78,consent_date,Data assinatura TCLE,0,0,1,0,0,0,tcle,text,D,,,date_dmy,,,[consent_c16735_yn] = '1',y,"Informed Consent, (NCIT: C16735)",BZ,,,consent_date,Data da assinatura do TCLE,tcle,Consent Form Signature Date
79,consent_upload,Upload TCLE,0,0,1,0,0,0,tcle,file,c,,,,,,[consent_c16735_yn] = '1',y,Informed Consent (NCIT: C16735),CA,,,consent_c16735,Faça o upload do TCLE assinado e escaneado,tcle,Upload Consent Form
80,tcle_complete,Formulário tcle completo?,0,0,1,0,0,0,tcle,radio,f,"0, Incomplete | 1, Unverified |2, Complete",,,,,,,,CB,"data$tcle_complete.factor = factor(data$tcle_complete,levels=c(""0"",""1"",""2"")) # tcle_complete 76","levels(data$tcle_complete.factor)=c(""Incomplete"",""Unverified"",""Complete"") # tcle_complete 73",tcle_complete,Complete?,tcle,Form tcle complete?
81,race,Raça,1,0,1,0,0,0,demographic,radio,f,"c41260, Asiático | c41261, Branco origem europeia | c128994, Branco origem América do Sul | c16352, Negro | c17998, desconhecido | c17649, Outro",,,,,,,,CC,"data$race.factor = factor(data$race,levels=c(""c41260"",""c41261"",""c128994"",""c16352"",""c17998"",""c17649"")) # race 101","levels(data$race.factor)=c(""Asiático (Asian: C41260)"",""Branco (White, C41261) Denotes a person with European, Middle Eastern, or North African ancestral origin who identifies, or is identified, as White. (FDA)"",""Branco, América do Sul (White South American, C128994) A person having origins in the original peoples of Europe, the Middle East, or North Africa, and South America."",""Negro (Black, C16352)"",""Desconhecido (Unknown, C17998): Not known, not observed, not recorded, or refused."",""Outro (Other, C17649) {race_other}"") # race 526",race,Raça CDISC SDTM Race Terminology (NCIT: C74457),dados_demogrficos,Race
82,race_other,Especifique raça,0,0,1,0,0,0,demographic,text,c,,,,,,[race] = 'c17649',,,CD,,,race_other,Especifique,dados_demogrficos,Specify Race
83,marital_status,Estado civil,1,0,1,0,0,0,demographic,radio,f,"c51776, divorciado | c53262, Amasiado | c51773, Casado | c51774, Solteiro | c156541, Separado | c51775, Viúvo",,,,,,,,CE,"data$marital_status.factor = factor(data$marital_status,levels=c(""c51776"",""c53262"",""c51773"",""c51774"",""c156541"",""c51775"")) # marital_status 121","levels(data$marital_status.factor)=c(""divorciado (divorced: C51776)"",""Amasiado (domestic partner: C53262)"",""Casado (married: C51773)"",""Solteiro (never married: C51774)"",""Separado (separated: C156541)"",""Viúvo (widowed: C51775)"") # marital_status 227",maritalstatus,Estado civilCDISC SDTM Marital Status Terminology (NCIT: C76348),dados_demogrficos,Marital Status
84,education_years,Anos de estudo,1,0,1,0,0,0,demographic,text,i,,,integer,,,,y,,CF,,,education,Número de anos que estudou Number of Years of Education (NCIT: C122393),dados_demogrficos,Years of Education
85,employment_status,Situação de emprego,1,0,1,0,0,0,demographic,radio,f,"c52658, Tempo integral | c75563, Desempregado | c75562, Tempo parcial ",,,,,,,,CG,"data$employment_status.factor = factor(data$employment_status,levels=c(""c52658"",""c75563"",""c75562"")) # employment_status 99","levels(data$employment_status.factor)=c(""Tempo integral (Full-Time: C52658)"",""Desempregado (Not Employed: C75563)"",""Tempo parcial (Part-Time: C75562)"") # employment_status 151",employment,Situação de emprego CDISC SDTM Employment Status Terminology (NCIT: C111108),dados_demogrficos,Employment Status
86,household_size,Nº de pessoas na casa,1,0,1,0,0,0,demographic,text,i,,,integer,,,,,,CH,,,cohabitants,Número de pessoas que vivem na mesma casa Number of People in Household (NCIT: C198363),dados_demogrficos,Household Size
87,income_level,Nível de renda,1,0,1,0,0,0,demographic,radio,f,"1, Até R$1.000 | 2, R$1.001 - R$3.000 | 3, R$3.001 - R$5.000 | 4, R$5.000 - R$10.000 | 5, Acima de R$10.000",,,,,,,,CI,"data$income_level.factor = factor(data$income_level,levels=c(""1"",""2"",""3"",""4"",""5"")) # income_level 82","levels(data$income_level.factor)=c(""Até R$1.000"",""R$1.001 - R$3.000"",""R$3.001 - R$5.000"",""R$5.000 - R$10.000"",""Acima de R$10.000"") # income_level 130",income,Nível de renda Income level (NCIT: C154890),dados_demogrficos,Income Level
88,demographic_metadata,Metadados demográficos,0,0,1,0,0,0,demographic,notes,c,,,,,,,, @HIDDEN,CJ,,,demographic_metadata,Metadata (NCIT: C52095)All demographic and socioeconomic data is coded according to NCIT Ontology version 23.06d (2023-06-26) ,dados_demogrficos,Demographic Metadata
89,demographic_complete,Formulário dados_demogrficos completo?,0,0,1,0,0,0,demographic,radio,f,"0, Incomplete | 1, Unverified |2, Complete",,,,,,,,CK,"data$demographic_complete.factor = factor(data$demographic_complete,levels=c(""0"",""1"",""2"")) # demographic_complete 90","levels(data$demographic_complete.factor)=c(""Incomplete"",""Unverified"",""Complete"") # demographic_complete 80",dados_demogrficos_complete,Complete?,dados_demogrficos,Form dados_demogrficos complete?
90,whoqol_timestamp,Timestamp pesquisa,1,0,1,0,1,0,whoqol,text,T,,,datetime_dmy,,,,,,CL,,,questionrio_qualidade_de_vida_timestamp,Survey Timestamp,questionrio_qualidade_de_vida,WHOQOL Survey Timestamp
91,whoqol_1_quality,Qualidade de vida,0,0,1,0,1,0,whoqol,radio,f,"1, Muito ruim | 2, Ruim | 3, Nem ruim nem boa | 4, Boa | 5, Muito boa",,,,,,y,,CM,"data$whoqol_1_quality.factor = factor(data$whoqol_1_quality,levels=c(""1"",""2"",""3"",""4"",""5"")) # whoqol_1_quality 90","levels(data$whoqol_1_quality.factor)=c(""Muito ruim"",""Ruim"",""Nem ruim nem boa"",""Boa"",""Muito boa"") # whoqol_1_quality 96",wb_1,Como você avaliaria a sua qualidade de vida?,questionrio_qualidade_de_vida,Quality of Life
92,whoqol_2_health,Satisfação com saúde,0,0,1,0,1,0,whoqol,radio,f,"1, Muito insatisfeito | 2, Insatisfeito | 3, Nem satisfeito nem insatisfeito | 4, Satisfeito | 5, Muito satisfeito",,,,,,y,,CN,"data$whoqol_2_health.factor = factor(data$whoqol_2_health,levels=c(""1"",""2"",""3"",""4"",""5"")) # whoqol_2_health 88","levels(data$whoqol_2_health.factor)=c(""Muito insatisfeito"",""Insatisfeito"",""Nem satisfeito nem insatisfeito"",""Satisfeito"",""Muito satisfeito"") # whoqol_2_health 140",wb_2,Quão satisfeito(a) você está com a sua saúde?,questionrio_qualidade_de_vida,Satisfaction with Health
93,whoqol_3_pain,Dor física,0,0,1,0,1,0,whoqol,radio,f,"1, Nada | 2, Muito pouco | 3, Mais ou menos | 4, Bastante | 5, Extremamente",,,,,,y,,CO,"data$whoqol_3_pain.factor = factor(data$whoqol_3_pain,levels=c(""1"",""2"",""3"",""4"",""5"")) # whoqol_3_pain 84","levels(data$whoqol_3_pain.factor)=c(""Nada"",""Muito pouco"",""Mais ou menos"",""Bastante"",""Extremamente"") # whoqol_3_pain 99",wb_3,Em que medida você acha que sua dor (física) impede você de fazer o que você precisa?,questionrio_qualidade_de_vida,Physical Pain
94,whoqol_4_treatment,Necessidade de tratamento,0,0,1,0,1,0,whoqol,radio,f,"1, Nada | 2, Muito pouco | 3, Mais ou menos | 4, Bastante | 5, Extremamente",,,,,,y,,CP,"data$whoqol_4_treatment.factor = factor(data$whoqol_4_treatment,levels=c(""1"",""2"",""3"",""4"",""5"")) # whoqol_4_treatment 94","levels(data$whoqol_4_treatment.factor)=c(""Nada"",""Muito pouco"",""Mais ou menos"",""Bastante"",""Extremamente"") # whoqol_4_treatment 104",wb_4,O quanto você precisa de algum tratamento médico para levar sua vida diária?,questionrio_qualidade_de_vida,Need for Treatment
95,whoqol_5_enjoyment,Aproveitamento da vida,0,0,1,0,1,0,whoqol,radio,f,"1, Nada | 2, Muito pouco | 3, Mais ou menos | 4, Bastante | 5, Extremamente",,,,,,y,,CQ,"data$whoqol_5_enjoyment.factor = factor(data$whoqol_5_enjoyment,levels=c(""1"",""2"",""3"",""4"",""5"")) # whoqol_5_enjoyment 94","levels(data$whoqol_5_enjoyment.factor)=c(""Nada"",""Muito pouco"",""Mais ou menos"",""Bastante"",""Extremamente"") # whoqol_5_enjoyment 104",wb_5,O quanto você aproveita a vida?,questionrio_qualidade_de_vida,Enjoyment of Life
96,whoqol_6_meaning,Sentido da vida,0,0,1,0,1,0,whoqol,radio,f,"1, Nada | 2, Muito pouco | 3, Mais ou menos | 4, Bastante | 5, Extremamente",,,,,,y,,CR,"data$whoqol_6_meaning.factor = factor(data$whoqol_6_meaning,levels=c(""1"",""2"",""3"",""4"",""5"")) # whoqol_6_meaning 90","levels(data$whoqol_6_meaning.factor)=c(""Nada"",""Muito pouco"",""Mais ou menos"",""Bastante"",""Extremamente"") # whoqol_6_meaning 102",wb_6,Em que medida você acha que a sua vida tem sentido?,questionrio_qualidade_de_vida,Meaning of Life
